trial_id,seed,tc,sigma_px,dropout_prob,camera_mode,dv_perfect_mag,dv_ekf_mag,dv_delta_mag,dv_mag_bias,dv_inflation_pct,miss_uncorrected,miss_perfect,miss_ekf,pos_err_tc,tracePpos_tc,nis_mean,nees_mean,valid_rate,dx0_norm_r,dx0_norm_v,notes,truth_mode
747,2130219286,2.0,1.0,0.0,estimate_tracking,0.0019962939956103677,0.0019505915268054356,8.445836169750055e-05,-4.570246880493205e-05,-0.02289365639801888,0.0020080703069772308,4.5214333338643625e-11,6.888006508106797e-05,5.068974884540079e-05,2.4696496784294134e-09,1.8366702749257502,3.7129788556908236,0.9900990099009901,0.0001540606410201715,0.0001832727882839351,,cr3bp
748,1457010286,2.0,1.0,0.0,estimate_tracking,0.0025371265902512543,0.0025778054652571495,5.185024883670074e-05,4.067887500589515e-05,0.016033443172367212,0.0018377781496891055,5.639130164185009e-11,0.00019639395333301144,1.668830554565343e-05,2.9137776368688303e-09,1.9004581928087776,4.276669890399397,0.9900990099009901,0.0002308594884894186,0.00014153351807676386,,cr3bp
749,177416172,2.0,1.0,0.0,estimate_tracking,0.002276657402057569,0.002372874840069452,0.0005327134964842541,9.621743801188284e-05,0.042262589849893395,0.00232655594263195,4.6350701141535783e-11,0.0003626876902763344,7.507533013162037e-05,3.4399128972197414e-09,1.9755389507409504,5.824392169203714,0.9900990099009901,0.0001801503979102104,0.00023852885970792744,,cr3bp
750,349765217,2.0,1.0,0.0,estimate_tracking,0.0015996432382505315,0.0016155929524657672,0.00024088334394168417,1.5949714215235692e-05,0.009970794633357816,0.001381316704627842,7.449365325206463e-11,0.0003011485704353065,8.864209288579427e-05,2.355925172548657e-09,1.5362361306854617,7.8819532046545575,0.9900990099009901,0.00012662318836485626,9.281966867661566e-05,,cr3bp
751,203856669,2.0,1.0,0.0,estimate_tracking,0.0008150006266218585,0.0010026067403363817,0.00021836947017024355,0.00018760611371452314,0.23019137358475672,9.205904255073954e-05,8.103248662151534e-11,0.00019215470974136964,4.426069672043058e-05,2.176851211332444e-09,2.0679734665632243,6.613571305758955,0.9900990099009901,0.00017063924610442554,8.102314075761977e-05,,cr3bp
752,715030798,2.0,1.0,0.0,estimate_tracking,0.004539440331510813,0.004401124429466912,0.00023096817668670543,-0.00013831590204390135,-0.030469813885155128,0.004528777083732385,4.8801172190131464e-11,6.992731332426722e-05,5.184521054192723e-05,2.0673825088652643e-09,1.8644013333626115,7.633306890096594,0.9900990099009901,0.0002534282034702035,0.00017282394381432355,,cr3bp
753,2146944504,2.0,1.0,0.0,estimate_tracking,0.001531188893426751,0.001468281146570711,0.00031273709583378107,-6.290774685603997e-05,-0.041084249713472354,0.0013311965108828406,3.8736241152471477e-11,0.0003936899276216731,4.7392941123441205e-05,4.831171816485975e-09,1.7784970673268197,13.097276374539666,0.9900990099009901,0.0001287150158306203,9.614371354332929e-05,,cr3bp
754,2035178870,2.0,1.0,0.0,estimate_tracking,0.002828626109833061,0.002718865141985128,0.0003789745700246656,-0.00010976096784793285,-0.038803632430024715,0.0021836535971124656,8.722391524514366e-11,0.0003307459143528493,8.056249298467507e-05,2.0985846427309347e-09,2.2664985997820453,8.512823962324374,0.9900990099009901,0.00021205556190395433,6.497764587552049e-05,,cr3bp
755,5412552,2.0,1.0,0.0,estimate_tracking,0.0004216840582043448,0.0006832042987850815,0.00031558195169339184,0.0002615202405807367,0.6201805249512327,0.0001485269014213273,4.5220740940867224e-11,4.087388611156202e-05,3.124899080582092e-05,3.184050051812541e-09,1.944062093327227,3.5699179858989645,0.9900990099009901,8.63183894125835e-05,0.00019549989423926656,,cr3bp
756,307214647,2.0,1.0,0.0,estimate_tracking,0.002274439101006734,0.0022305457095058425,0.0003043244005678642,-4.389339150089131e-05,-0.01929855650189216,0.001919634748645474,4.832989223510748e-11,6.484612315930702e-05,3.1112522233504714e-05,2.155342302089312e-09,1.8619173916313863,2.72387976606668,0.9900990099009901,0.00014697265343603118,0.00010341188883217801,,cr3bp
